stroke_prev,obesity_prev,chd_prev,high_bp_prev,diabetes_prev,smoking_prev,inactivity_prev,uninsured_pct,pcp_rate,preventable_hospital_stays,child_poverty_pct,unemployment_pct
1,0.659484966241896,0.9029595795320299,0.8740147604074848,0.9253621344026033,0.8067278265228743,0.8382878244579108,0.3900274030781919,-0.2838508865449753,0.3690808346027387,0.871750593311676,0.3815557139810568
0.659484966241896,1,0.6955287396231999,0.7330782955141358,0.6753058427679087,0.7125658639374565,0.7360233691027758,0.1819577182860667,-0.32905365844126155,0.3500065882446242,0.5403098510960498,0.13801324935345927
0.9029595795320299,0.6955287396231999,1,0.7850252406543848,0.8252455269854744,0.9211562735415282,0.84825701365518,0.3913394274964607,-0.3464653939788283,0.3530149597989398,0.7931353962530459,0.3378475056893853
0.8740147604074848,0.7330782955141358,0.7850252406543848,1,0.8774301162634434,0.7062456146641347,0.8203539886631412,0.3297906184314154,-0.28332310424860924,0.4360733410289992,0.7682067548805495,0.25289707299305936
0.9253621344026033,0.6753058427679087,0.8252455269854744,0.8774301162634434,1,0.6845976094811945,0.8754063202908129,0.4686672708907615,-0.2672334402846536,0.3922186457927489,0.8314656745720342,0.34367256073625924
0.8067278265228743,0.7125658639374565,0.9211562735415282,0.7062456146641347,0.6845976094811945,1,0.750042863971164,0.2685339206641611,-0.35488272480619626,0.34202187168308923,0.657917367097383,0.26424392652921497
0.8382878244579108,0.7360233691027758,0.84825701365518,0.8203539886631412,0.8754063202908129,0.750042863971164,1,0.49418348873834383,-0.3589766526195251,0.4102508574718652,0.7565793661332377,0.2624262968900999
0.3900274030781919,0.1819577182860667,0.3913394274964607,0.3297906184314154,0.4686672708907615,0.2685339206641611,0.49418348873834383,1,-0.19642920168595876,0.1643646118650044,0.4130854330891635,0.10364759167310962
-0.2838508865449753,-0.32905365844126155,-0.3464653939788283,-0.28332310424860924,-0.2672334402846536,-0.35488272480619626,-0.3589766526195251,-0.19642920168595876,1,-0.15299162809871147,-0.2531170634728163,-0.1127584760877602
0.3690808346027387,0.3500065882446242,0.3530149597989398,0.4360733410289992,0.3922186457927489,0.34202187168308923,0.4102508574718652,0.1643646118650044,-0.15299162809871147,1,0.3307472911086538,0.11252905286259332
0.871750593311676,0.5403098510960498,0.7931353962530459,0.7682067548805495,0.8314656745720342,0.657917367097383,0.7565793661332377,0.4130854330891635,-0.2531170634728163,0.3307472911086538,1,0.43692736337763527
0.3815557139810568,0.13801324935345927,0.3378475056893853,0.25289707299305936,0.34367256073625924,0.26424392652921497,0.2624262968900999,0.10364759167310962,-0.1127584760877602,0.11252905286259332,0.43692736337763527,1
