fips,state_abbr,state_name,county_name,uninsured_pct,pcp_rate,preventable_hospital_stays,priority_score,priority_tier
02158,AK,Alaska,Kusilvak,0.1389707156,NA,4240,3.1447910030601793,Very High
28063,MS,Mississippi,Jefferson,0.14701883860000003,2.7758500000000006e-4,4835,2.805363154619343,Very High
47095,TN,Tennessee,Lake,0.13819834270000003,NA,7624,2.626904995269349,Very High
48427,TX,Texas,Starr,0.24997810740000004,2.5738470000000006e-4,4460,2.3264708653210926,Very High
48505,TX,Texas,Zapata,0.23676809000000004,NA,5053,2.14424476457729,Very High
48247,TX,Texas,Jim Hogg,0.21422986710000003,2.0828990000000005e-4,6214,2.010360427806373,Very High
13193,GA,Georgia,Macon,0.1930646673,8.33056e-5,3818,1.958852117856888,Very High
13273,GA,Georgia,Terrell,0.16289308180000003,NA,5503,1.9127619524413657,Very High
13003,GA,Georgia,Atkinson,0.20712923570000005,NA,6162,1.9090318334869631,Very High
13269,GA,Georgia,Taylor,0.1638727335,NA,6384,1.8774226268435157,Very High
13243,GA,Georgia,Randolph,0.15810843090000004,3.181167e-4,3942,1.858106728624684,Very High
28103,MS,Mississippi,Noxubee,0.1581928176,9.87849e-5,4003,1.855006011716132,Very High
48127,TX,Texas,Dimmit,0.19446090050000003,3.540659e-4,4078,1.8503024141975624,Very High
48507,TX,Texas,Zavala,0.17138485080000002,NA,3673,1.7825153345969076,Very High
40029,OK,Oklahoma,Coal,0.1922983773,1.8953750000000005e-4,8049,1.77245875274343,Very High
37155,NC,North Carolina,Robeson,0.1519726466,5.071865999999998e-4,5148,1.767578446166005,Very High
28011,MS,Mississippi,Bolivar,0.1416500994,4.949188e-4,4465,1.7461463838500968,Very High
46071,SD,South Dakota,Jackson,0.16179879460000002,NA,3605,1.6488977908112663,Very High
48489,TX,Texas,Willacy,0.21597408860000003,3.9377830000000006e-4,3725,1.6131587798238325,Very High
28135,MS,Mississippi,Tallahatchie,0.14054588120000003,8.08669e-5,3619,1.6027679356702649,Very High
13259,GA,Georgia,Stewart,0.1652786675,NA,3849,1.5974569734452462,Very High
28065,MS,Mississippi,Jefferson Davis,0.13743196440000002,2.694449e-4,4350,1.5937144172336053,Very High
40001,OK,Oklahoma,Adair,0.16220493210000003,2.5754609999999997e-4,4603,1.5842626795121193,Very High
48323,TX,Texas,Maverick,0.2626135065,2.4114650000000003e-4,3991,1.570514770838857,Very High
48047,TX,Texas,Brooks,0.1790702124,NA,3965,1.5641843154648865,Very High
48351,TX,Texas,Newton,0.2043939228,8.16927e-5,4112,1.5538270961887777,Very High
46007,SD,South Dakota,Bennett,0.1423935091,NA,3905,1.5470612695421004,Very High
13309,GA,Georgia,Wheeler,0.18018967329999996,2.677018000000001e-4,4324,1.5458615656002994,Very High
48405,TX,Texas,San Augustine,0.1961027458,2.5246150000000006e-4,3577,1.5051182810132109,Very High
40023,OK,Oklahoma,Choctaw,0.15400614940000004,4.193751000000001e-4,7221,1.4801800419067268,Very High
28107,MS,Mississippi,Panola,0.1429395256,2.130833e-4,4020,1.4398907468604036,Very High
40127,OK,Oklahoma,Pushmataha,0.16147273180000002,1.8492829999999997e-4,6130,1.439846223962409,Very High
28113,MS,Mississippi,Pike,0.14538215010000002,3.752533e-4,3976,1.438527647100364,Very High
28153,MS,Mississippi,Wayne,0.163405774,3.044293999999999e-4,5196,1.3652318745940688,Very High
48131,TX,Texas,Duval,0.1795935297,NA,4363,1.3639965614025158,Very High
12043,FL,Florida,Glades,0.24820541140000005,NA,4649,1.3604757877382485,Very High
28001,MS,Mississippi,Adams,0.15405629540000004,7.654304000000001e-4,4065,1.3523541448750735,Very High
13017,GA,Georgia,Ben Hill,0.14990597970000002,4.662548e-4,4326,1.3273097590331997,Very High
13081,GA,Georgia,Crisp,0.14181964900000002,7.042607999999999e-4,4783,1.306496488943,Very High
28097,MS,Mississippi,Montgomery,0.15855529210000005,5.139274e-4,4570,1.30562968309939,Very High
28005,MS,Mississippi,Amite,0.15437712280000002,1.5826540000000002e-4,3410,1.3008187330993048,Very High
40135,OK,Oklahoma,Sequoyah,0.1653960254,3.5435859999999997e-4,4205,1.2913013546117142,Very High
13301,GA,Georgia,Warren,0.1450502912,5.725191000000001e-4,5101,1.290940479151261,Very High
40005,OK,Oklahoma,Atoka,0.1787517673,1.396258e-4,6994,1.2800796622907291,Very High
29133,MO,Missouri,Mississippi,0.1496575342,1.5951510000000003e-4,3399,1.2780564094939812,Very High
13107,GA,Georgia,Emanuel,0.16539629780000004,3.961965e-4,4719,1.266673752125576,Very High
48445,TX,Texas,Terry,0.23591665750000004,3.403097e-4,4327,1.2647103280566694,Very High
48487,TX,Texas,Wilbarger,0.2091944752,3.141937e-4,3740,1.2628998783570755,Very High
28093,MS,Mississippi,Marshall,0.1393070207,1.4825800000000002e-4,3864,1.2575357603631758,Very High
13315,GA,Georgia,Wilcox,0.13775510200000002,1.144296e-4,4283,1.250509813515659,Very High
13263,GA,Georgia,Talbot,0.14155588380000003,3.4831069999999997e-4,3416,1.2253965933917377,Very High
13191,GA,Georgia,McIntosh,0.17001303780000004,NA,4767,1.21892075592752,Very High
02180,AK,Alaska,Nome,0.14537628440000003,0.0013177902,5065,1.2160850693084977,Very High
13069,GA,Georgia,Coffee,0.19114809450000003,5.301248999999999e-4,5326,1.2072166113680227,Very High
40141,OK,Oklahoma,Tillman,0.1751135332,1.4132280000000002e-4,5757,1.2070629505304944,Very High
48479,TX,Texas,Webb,0.27069553739999996,3.0603299999999993e-4,3493,1.2005923418834563,Very High
13205,GA,Georgia,Mitchell,0.14095521230000002,4.646624e-4,4652,1.1995709672327948,Very High
13167,GA,Georgia,Johnson,0.16853732410000002,5.458515e-4,4276,1.1914072412514989,Very High
13065,GA,Georgia,Clinch,0.1849518162,1.486989e-4,4515,1.190460501096899,Very High
12051,FL,Florida,Hendry,0.2429245966,2.7286480000000005e-4,3583,1.1902239211433396,Very High
13071,GA,Georgia,Colquitt,0.1978802418,3.710818000000001e-4,6053,1.1893679209529506,Very High
13095,GA,Georgia,Dougherty,0.15788390940000002,7.778983e-4,3850,1.1868505679605237,Very High
48191,TX,Texas,Hall,0.25130146710000006,NA,4047,1.186073768385676,Very High
13093,GA,Georgia,Dooly,0.15245675800000005,9.18695e-5,5087,1.1825556738022898,Very High
28123,MS,Mississippi,Scott,0.153174218,1.811725e-4,3582,1.180368995635926,Very High
12027,FL,Florida,DeSoto,0.2257904526,2.6156710000000007e-4,3410,1.1666772198824695,Very High
13197,GA,Georgia,Marion,0.178828908,NA,4118,1.1340277773122136,Very High
29119,MO,Missouri,McDonald,0.17959017640000002,8.553220000000001e-5,4025,1.1185104641874026,Very High
40079,OK,Oklahoma,Le Flore,0.1908273193,2.888027e-4,4292,1.116771143363364,Very High
12039,FL,Florida,Gadsden,0.16424553380000004,2.287597e-4,3591,1.1086755748297965,Very High
13099,GA,Georgia,Early,0.14205537540000002,4.708541e-4,4031,1.1067668546536378,Very High
40061,OK,Oklahoma,Haskell,0.1643987167,2.585761e-4,4786,1.0984391114840664,Very High
28099,MS,Mississippi,Neshoba,0.15243440690000004,5.518573000000001e-4,4141,1.0856016036364389,Very High
40089,OK,Oklahoma,McCurtain,0.1639529716,4.5330920000000006e-4,4113,1.0748304914518516,Very High
40069,OK,Oklahoma,Johnston,0.13866231650000002,2.912339e-4,4999,1.0585040831526056,Very High
13001,GA,Georgia,Appling,0.1870353644,4.327131e-4,3558,1.049491155486312,Very High
28091,MS,Mississippi,Marion,0.14276588950000005,3.691853e-4,4117,1.0460663745338925,Very High
13109,GA,Georgia,Evans,0.17841708850000007,3.748126e-4,3858,1.0433499494379177,Very High
13251,GA,Georgia,Screven,0.1468782469,1.417937e-4,3876,1.0273783629759796,Very High
48291,TX,Texas,Liberty,0.2257915661,2.151176e-4,4178,1.025426200328642,Very High
13055,GA,Georgia,Chattooga,0.166807477,8.021820000000001e-5,4329,1.011517789147588,Very High
01059,AL,Alabama,Franklin,0.13699785340000004,4.06085e-4,5425,1.011516437820388,Very High
47111,TN,Tennessee,Macon,0.14254730040000005,1.945601e-4,6939,1.0065483219214968,Very High
12077,FL,Florida,Liberty,0.15850864400000003,NA,4620,0.9985452954596196,Very High
40015,OK,Oklahoma,Caddo,0.164780724,2.2754850000000003e-4,3812,0.9956427035607062,Very High
29181,MO,Missouri,Ripley,0.1383677298,9.4188600000000015e-05,3683,0.9931900840078132,Very High
40013,OK,Oklahoma,Bryan,0.17425988760000002,3.82125e-4,7209,0.9923523628682454,Very High
13087,GA,Georgia,Decatur,0.13956994010000004,3.4437629999999996e-4,3782,0.991406303408374,Very High
48107,TX,Texas,Crosby,0.2200743494,3.91696e-4,3906,0.9906312867339668,Very High
40075,OK,Oklahoma,Kiowa,0.13867838740000002,3.567182e-4,4326,0.9807581298039328,Very High
47137,TN,Tennessee,Pickett,0.16803503010000004,5.906675e-4,4053,0.9807441498566508,Very High
48321,TX,Texas,Matagorda,0.21620881940000003,3.5769320000000003e-4,4992,0.9768982553218238,Very High
13305,GA,Georgia,Wayne,0.1809140123,3.620803e-4,3790,0.9584973118504332,Very High
29149,MO,Missouri,Oregon,0.14469549600000003,NA,3984,0.9445159233187098,Very High
28129,MS,Mississippi,Smith,0.1384559293,7.046719999999999e-5,3784,0.9428295897946244,Very High
48389,TX,Texas,Reeves,0.21997929610000003,3.4513699999999997e-4,3494,0.9407990874587576,Very High
13155,GA,Georgia,Irwin,0.15451562280000003,3.119152000000001e-4,4879,0.9393568600979004,Very High
12107,FL,Florida,Putnam,0.1676306926,3.775264e-4,4792,0.9378343197847652,Very High
29221,MO,Missouri,Washington,0.136821366,2.97847e-4,4941,0.935330890481792,Very High
40101,OK,Oklahoma,Muskogee,0.1518705405,4.535422e-4,3672,0.9318623669750488,Very High
13019,GA,Georgia,Berrien,0.1511328178,2.204221e-4,4434,0.925400911597132,Very High
47087,TN,Tennessee,Jackson,0.1383987649,8.510640000000001e-5,4101,0.9214595023508416,Very High
13173,GA,Georgia,Lanier,0.13923895750000004,NA,3564,0.9172683360525922,Very High
13321,GA,Georgia,Worth,0.13809433600000004,2.9191400000000005e-4,5353,0.912855730600882,Very High
12029,FL,Florida,Dixie,0.14803815690000002,2.338908e-4,5144,0.9069614932214132,Very High
13043,GA,Georgia,Candler,0.2023269343,1.812087e-4,3411,0.901196756129441,Very High
13299,GA,Georgia,Ware,0.15458422170000002,6.105514e-4,3370,0.8777998794717797,Very High
